Date,Team,ServeTot,ServeErr,ServePts,RecTot,RecErr,AttackTot,Block,AfterPosErr, AfterPosBlo,AfterPosPts,AfterPosTot,AfterNegErr,AfterNegBlo,AfterNegPts,AfterNegTot,AfterDigErr,AfterDigBlo,AfterDigPts,AfterDigTot
12.11.2023,FKB Power Cats Düdingen,86,8,2,79,3,160,12,2,6,31,45,1,3,41,27,8,6,26,88
12.11.2023,VC Kanti Schaffhausen,86,7,3,78,2,138,15,5,2,49,41,3,5,19,26,8,5,28,71
12.11.2023,Raiffeisen Volley Glaronia,100,13,8,92,7,178,5,2,1,54,39,6,1,27,41,6,7,36,98
12.11.2023,Raiffeisen Volley Toggenburg,100,8,7,87,8,167,9,2,3,45,49,2,0,26,27,6,2,26,91
12.11.2023,Volley Lugano,58,7,5,62,9,81,4,0,3,39,23,4,0,38,26,3,3,34,32
12.11.2023,Viteos NUC,73,11,9,51,5,83,6,0,0,58,26,1,1,67,15,5,3,45,42
18.11.2023,Raiffeisen Volley Toggenburg,73,10,6,55,2,122,4,1,1,47,19,0,5,36,28,4,2,28,75
18.11.2023,Genève Volley,63,8,2,63,6,121,8,4,1,38,24,2,1,24,29,7,2,25,68
18.11.2023,Volley Lugano,108,8,9,94,10,157,14,3,4,38,37,2,2,44,39,9,4,37,81
18.11.2023,FKB Power Cats Düdingen,104,10,10,100,9,172,10,3,1,43,46,5,4,26,42,6,9,31,84
19.11.2023,Sm'Aesch Pfeffingen,74,7,10,45,4,74,7,1,0,82,17,2,0,33,18,4,3,51,39
19.11.2023,Volleyball Academy,51,6,4,67,10,77,3,2,2,44,25,1,2,48,23,3,3,24,29
19.11.2023,VC Kanti Schaffhausen,103,11,9,93,5,143,10,9,7,43,65,0,3,20,15,6,2,48,63
19.11.2023,Raiffeisen Volley Glaronia,102,9,5,92,9,136,12,5,5,51,47,1,1,29,28,5,4,43,61
19.11.2023,Viteos NUC,104,17,9,70,8,101,11,3,1,59,27,2,2,54,24,8,2,53,49
19.11.2023,VBC Cheseaux,85,15,8,87,9,109,5,2,3,47,38,6,6,27,33,5,2,28,39
25.11.2023,VC Kanti Schaffhausen,76,9,7,48,4,101,15,0,0,50,16,2,1,30,20,9,5,32,65
25.11.2023,Viteos NUC,60,12,4,67,7,108,6,0,2,48,25,4,5,10,29,5,8,22,54
25.11.2023,VBC Cheseaux,92,22,8,71,1,132,10,6,4,40,42,2,1,33,18,6,2,41,73
25.11.2023,Raiffeisen Volley Toggenburg,83,10,1,68,6,115,7,2,4,33,36,1,0,14,21,4,6,36,58
25.11.2023,Raiffeisen Volley Glaronia,96,6,4,95,17,144,9,4,3,44,54,6,0,16,19,5,7,35,71
25.11.2023,Genève Volley,109,14,17,90,4,140,10,3,3,45,55,2,1,33,21,11,5,43,63
25.11.2023,Volleyball Academy,81,11,5,92,2,147,16,3,3,36,36,4,1,27,44,9,5,25,67
25.11.2023,FKB Power Cats Düdingen,99,7,2,70,5,137,9,1,5,48,31,1,3,33,24,5,8,33,82
26.11.2023,Sm'Aesch Pfeffingen,103,17,10,82,7,139,6,6,1,43,44,3,4,38,24,8,4,49,71
26.11.2023,Volley Lugano,98,16,7,86,10,119,9,3,2,47,34,2,1,35,31,2,3,31,54
02.12.2023,Raiffeisen Volley Toggenburg, 70,5,4,64,2,106,6
02.12.2023,Sm'Aesch Pfeffingen, 73,8,3,65,4,102,11
02.12.2023,Genève Volley, 91,11,7,65,6,129,11,3,0,59,17,3,3,35,37,6,6,31,75
02.12.2023,VC Kanti Schaffhausen, 77,12,6,80,7,119,9,2,4,36,25,3,4,35,40,6,5,26,54
02.12.2023,Volley Lugano,75,11,7,57,2,88,12,3,1,67,27,1,0,21,19,5,3,38,42
02.12.2023,Raiffeisen Volley Glaronia,66,9,2,64,7,107,3,2,1,50,16,4,8,23,39,4,3,35,52
03.12.2023,FKB Power Cats Düdingen,91,9,6,77,8,124,12,1,5,37,41,2,4,14,21,3,4,32,62
03.12.2023,VBC Cheseaux,101,23,8,82,6,138,14,3,4,51,49,0,2,43,21,5,6,41,68
03.12.2023,Viteos NUC, 73,10,11,44,2,69,10,1,0,54,13,2,3,50,24,6,3,41,32
03.12.2023,Volleyball Academy,56,12,2,63,11,75,6,1,3,19,16,5,4,33,27,1,3,38,32
09.12.2023,Raiffeisen Volley Glaronia,73,11,10,49,3,116,3,0,2,46,24,2,1,33,21,3,5,27,71
09.12.2023,Volleyball Academy, 57,8,3,62,10,105,8,2,1,30,30,2,0,17,18,9,2,23,57
09.12.2023,Raiffeisen Volley Toggenburg,65,7,6,66,3,88,2
09.12.2023,Viteos NUC,74,8,3,58,6,94,9
09.12.2023,Genève Volley,65,7,5,70,8,127,3,4,1,53,30,3,2,29,28,4,3,26,69
09.12.2023,FKB Power Cats Düdingen,76,6,8,58,5,124,6,2,2,32,22,0,0,44,25,2,1,35,77
10.12.2023,Sm'Aesch Pfeffingen,87,13,6,77,10,119,6,8,0,43,30,6,5,34,32,7,5,33,57
10.12.2023,VBC Cheseaux,95,18,10,74,6,94,10,2,2,48,29,2,1,32,28,4,3,41,37
10.12.2023,VC Kanti Schaffhausen,73,8,5,54,3,92,11,3,1,59,29,1,2,47,15,5,5,46,48
10.12.2023,Volley Lugano,360,6,3,65,5,83,8,1,3,38,21,2,2,48,27,2,6,23,35
16.12.2023,Volley Lugano,75,9,6,51,2,98,6,1,1,76,25,3,0,32,19,6,4,39,54
16.12.2023,Genève Volley,56,5,2,66,6,81,5,6,1,38,29,2,4,19,21,2,1,35,31
16.12.2023,FKB Power Cats Düdingen,99,10,5,73,3,174,11,3,3,44,52,0,0,31,16,4,4,31,106
16.12.2023,Raiffeisen Volley Glaronia,83,10,3,89,5,184,7,2,4,35,48,3,3,28,29,6,4,27,107
16.12.2023,VBC Cheseaux,73,13,9,55,4,83,5,1,0,62,21,1,2,52,25,5,1,41,37
16.12.2023,VC Kanti Schaffhausen,68,10,5,56,6,80,3,2,1,45,20,1,2,45,22,2,2,43,37
17.12.2023,Volleyball Academy,77,18,3,81,7,119,4,4,0,42,19,12,1,28,43,10,2,40,57
17.12.2023,Raiffeisen Volley Toggenburg,95,14,7,59,3,111,3,2,1,48,21,1,1,28,32,7,2,33,58
17.12.2023,Viteos NUC,74,15,2,55,6,87,11,0,0,58,24,2,1,37,19,5,0,53,43
17.12.2023,Sm'Aesch Pfeffingen,61,6,6,59,2,94,1,4,2,35,26,5,2,32,25,3,7,23,43
19.12.2023,VC Kanti Schaffhausen,73,6,5,40,2,78,12,1,0,58,12,3,0,55,20,4,1,59,46
19.12.2023,Raiffeisen Volley Toggenburg,43,3,2,67,5,95,1,1,4,24,29,5,4,14,28,3,4,26,38
20.12.2023,Genève Volley,65,9,5,60,5,74,3,1,0,48,21,1,2,15,20,4,0,36,33
20.12.2023,Viteos NUC,73,13,5,56,5,97,2,3,0,59,22,5,2,50,26,7,1,47,49
20.12.2023,Sm'Aesch Pfeffingen,106,9,9,89,10,167,13,4,1,39,33,3,2,41,41,8,7,36,95
20.12.2023,FKB Power Cats Düdingen,100,9,11,97,9,159,10,0,3,38,37,4,3,33,43,4,7,28,79
20.12.2023,Volley Lugano,73,11,10,44,4,77,6,1,0,54,13,0,1,37,19,4,2,47,45
20.12.2023,Volleyball Academy,53,9,4,62,10,85,3,1,2,50,20,3,3,32,28,6,1,22,37
20.12.2023,Raiffeisen Volley Glaronia,98,12,5,88,6,147,3,4,3,44,39,2,3,30,37,4,5,38,71
20.12.2023,VBC Cheseaux,105,17,6,86,5,149,11,4,0,44,48,1,0,46,28,7,3,44,73
06.01.2024,Sm'Aesch Pfeffingen,95,14,3,81,2,138,6,2,2,59,49,7,1,25,24,7,3,43,65
06.01.2024,Raiffeisen Volley Glaronia,89,7,3,81,3,143,6,1,2,47,30,7,3,27,45,7,1,26,68
06.01.2024,Volleyball Academy,90,13,6,99,7,130,10,4,7,42,52,5,1,34,32,4,7,43,46
06.01.2024,VC Kanti Schaffhausen,107,8,7,77,6,111,15,2,3,62,39,2,2,42,24,5,5,42,48
07.01.2024,VBC Cheseaux,102,13,5,95,5,160,14,3,4,54,46,2,0,30,30,11,7,30,82
07.01.2024,Genève Volley,107,12,5,88,4,139,12,3,6,45,47,1,0,33,24,2,6,31,67
10.01.2024,Raiffeisen Volley Toggenburg,71,4,5,89,9,126,5
10.01.2024,Volley Lugano,99,9,10,65,3,131,11
12.01.2024,Genève Volley,74,7,10,41,4,72,14,4,0,62,21,1,0,40,15,5,0,33,36
12.01.2024,Volleyball Academy,51,10,4,67,10,78,0,1,2,60,20,4,9,21,29,3,3,34,29
